# CANDIDATES (passed filter)
id,provider,api,reasoning,has_thinking_off,cost_in,cost_out,total_cost,ctx,family,cheap
gemini-1.5-flash,google-vertex,google-vertex,false,true,0.075,0.3,0.3750,1000000,flash,true
gemini-1.5-flash-8b,google-vertex,google-vertex,false,true,0.0375,0.15,0.1875,1000000,flash,true
gemini-1.5-pro,google-vertex,google-vertex,false,true,1.25,5,6.2500,1000000,pro,false
gemini-2.0-flash,google-vertex,google-vertex,false,true,0.15,0.6,0.7500,1048576,flash,true
gemini-2.0-flash-lite,google-vertex,google-vertex,true,true,0.075,0.3,0.3750,1048576,flash-lite,true
gemini-2.5-flash,google-vertex,google-vertex,true,true,0.3,2.5,2.8000,1048576,flash,false
gemini-2.5-flash-lite,google-vertex,google-vertex,true,true,0.1,0.4,0.5000,1048576,flash-lite,true
gemini-2.5-flash-lite-preview-09-2025,google-vertex,google-vertex,true,true,0.1,0.4,0.5000,1048576,flash-lite,true
gemini-2.5-pro,google-vertex,google-vertex,true,true,1.25,10,11.2500,1048576,pro,false
gemini-3-flash-preview,google-vertex,google-vertex,true,true,0.5,3,3.5000,1048576,flash,false
gemini-3-pro-preview,google-vertex,google-vertex,true,true,2,12,14.0000,1000000,pro,false
gemini-3.1-pro-preview,google-vertex,google-vertex,true,true,2,12,14.0000,1048576,pro,false
gemini-3.1-pro-preview-customtools,google-vertex,google-vertex,true,true,2,12,14.0000,1048576,pro,false
MiniMaxAI/MiniMax-M2.1,huggingface,openai-completions,true,false,0.3,1.2,1.5000,204800,mini,false
MiniMaxAI/MiniMax-M2.5,huggingface,openai-completions,true,false,0.3,1.2,1.5000,204800,mini,false
MiniMaxAI/MiniMax-M2.7,huggingface,openai-completions,true,false,0.3,1.2,1.5000,204800,mini,false
Qwen/Qwen3-235B-A22B-Thinking-2507,huggingface,openai-completions,true,false,0.3,3,3.3000,262144,(other),false
Qwen/Qwen3-Coder-480B-A35B-Instruct,huggingface,openai-completions,false,false,2,2,4.0000,262144,(other),false
Qwen/Qwen3-Coder-Next,huggingface,openai-completions,false,false,0.2,1.5,1.7000,262144,(other),false
Qwen/Qwen3-Next-80B-A3B-Instruct,huggingface,openai-completions,false,false,0.25,1,1.2500,262144,(other),false
Qwen/Qwen3-Next-80B-A3B-Thinking,huggingface,openai-completions,false,false,0.3,2,2.3000,262144,(other),false
Qwen/Qwen3.5-397B-A17B,huggingface,openai-completions,true,false,0.6,3.6,4.2000,262144,(other),false
XiaomiMiMo/MiMo-V2-Flash,huggingface,openai-completions,true,false,0.1,0.3,0.4000,262144,flash,true
deepseek-ai/DeepSeek-R1-0528,huggingface,openai-completions,true,false,3,5,8.0000,163840,(other),false
deepseek-ai/DeepSeek-V3.2,huggingface,openai-completions,true,false,0.28,0.4,0.6800,163840,(other),true
deepseek-ai/DeepSeek-V4-Pro,huggingface,openai-completions,true,false,1.74,3.48,5.2200,1048576,pro,false
moonshotai/Kimi-K2-Instruct,huggingface,openai-completions,false,false,1,3,4.0000,131072,kimi,false
moonshotai/Kimi-K2-Instruct-0905,huggingface,openai-completions,false,false,1,3,4.0000,262144,kimi,false
moonshotai/Kimi-K2-Thinking,huggingface,openai-completions,true,false,0.6,2.5,3.1000,262144,kimi,false
